id;Dataset;k;normalize;meka;weka;model size;status;Accuracy;Jaccard index;Hamming score;Exact match;Jaccard distance;Hamming loss;ZeroOne loss;Harmonic score;One error;Rank loss;Avg precision;Log Loss (lim. L);Log Loss (lim. D);Micro Precision;Micro Recall;Macro Precision;Macro Recall;F1 (micro averaged);F1 (macro averaged by label);AUPRC (macro averaged);AUROC (macro averaged);Build Time;Test Time;Total Time;Accuracy (per label);Harmonic (per label);Precision (per label);Recall (per label);avg. relevance (test set);avg. relevance (predicted);avg. relevance (difference)
1;flags;0;False;meka.classifiers.multilabel.PSt -P 1 -N 2;weka.classifiers.trees.RandomForest -- -I 129 -K 0 -depth 0;1912807;success;0.555;0.555;0.711;0.15;0.445;0.289;0.85;0.687;0.175;0.197;0.816;0.523;0.579;0.687;0.702;0.474;0.522;0.694;0.485;0.616;0.629;1.133;0.013;1.146;"[""0.825"", ""0.625"", ""0.575"", ""0.625"", ""0.700"", ""0.750"", ""0.875""]";"[""0.000"", ""0.481"", ""0.562"", ""0.628"", ""0.000"", ""0.000"", ""0.000""]";"[""0.825"", ""0.667"", ""0.542"", ""0.545"", ""0.737"", ""0.000"", ""0.000""]";"[""1.000"", ""0.333"", ""0.684"", ""0.706"", ""0.933"", ""0.000"", ""0.000""]";"[""0.825"", ""0.450"", ""0.475"", ""0.425"", ""0.750"", ""0.225"", ""0.125""]";"[""1.000"", ""0.225"", ""0.600"", ""0.550"", ""0.950"", ""0.025"", ""0.000""]";"[""-0.175"", ""0.225"", ""-0.125"", ""-0.125"", ""-0.200"", ""0.200"", ""0.125""]"
2;flags;0;False;meka.classifiers.multilabel.CDN -Ic 4 -I 341;weka.classifiers.rules.JRip -- -N 4.2 -E -P -O 5;65376;success;0.507;0.507;0.639;0.075;0.493;0.361;0.925;0.566;0.325;0.358;0.666;0.603;0.802;0.589;0.756;0.515;0.656;0.662;0.571;0.556;0.588;0.584;0.126;0.71;"[""0.700"", ""0.700"", ""0.525"", ""0.575"", ""0.675"", ""0.650"", ""0.650""]";"[""0.000"", ""0.701"", ""0.314"", ""0.578"", ""0.323"", ""0.547"", ""0.313""]";"[""0.800"", ""0.650"", ""0.500"", ""0.500"", ""0.758"", ""0.308"", ""0.091""]";"[""0.848"", ""0.722"", ""0.895"", ""0.647"", ""0.833"", ""0.444"", ""0.200""]";"[""0.825"", ""0.450"", ""0.475"", ""0.425"", ""0.750"", ""0.225"", ""0.125""]";"[""0.875"", ""0.500"", ""0.850"", ""0.550"", ""0.825"", ""0.325"", ""0.275""]";"[""-0.050"", ""-0.050"", ""-0.375"", ""-0.125"", ""-0.075"", ""-0.100"", ""-0.150""]"
3;flags;0;False;meka.classifiers.multilabel.CT -X Hbf -Iy 36 -Is 0 -P 'Macro Recall' -H 1;weka.classifiers.functions.SGD -- -F 0 -L 0.001 -R 1e-08 -N;51620;success;0.401;0.401;0.593;0.0;0.599;0.407;1.0;0.518;0.45;0.498;0.553;0.792;1.502;0.565;0.565;0.524;0.509;0.565;0.478;0.489;0.532;0.695;0.15;0.845;"[""0.375"", ""0.400"", ""0.600"", ""0.475"", ""0.750"", ""0.700"", ""0.850""]";"[""0.414"", ""0.163"", ""0.570"", ""0.477"", ""0.000"", ""0.197"", ""0.557""]";"[""0.900"", ""0.412"", ""0.600"", ""0.409"", ""0.750"", ""0.200"", ""0.400""]";"[""0.273"", ""0.778"", ""0.474"", ""0.529"", ""1.000"", ""0.111"", ""0.400""]";"[""0.825"", ""0.450"", ""0.475"", ""0.425"", ""0.750"", ""0.225"", ""0.125""]";"[""0.250"", ""0.850"", ""0.375"", ""0.550"", ""1.000"", ""0.125"", ""0.125""]";"[""0.575"", ""-0.400"", ""0.100"", ""-0.125"", ""-0.250"", ""0.100"", ""0.000""]"
4;flags;0;True;meka.classifiers.multilabel.BRq -P 0.75;weka.classifiers.functions.VotedPerceptron -- -I 2 -M 41566 -E 3.5000000000000013;2848271;success;0.278;0.278;0.557;0.0;0.722;0.443;1.0;0.382;0.3;0.639;0.53;0.862;1.634;0.538;0.382;0.346;0.47;0.446;0.393;0.544;0.607;0.671;0.01;0.681;"[""0.200"", ""0.800"", ""0.675"", ""0.500"", ""0.250"", ""0.650"", ""0.825""]";"[""0.000"", ""0.802"", ""0.590"", ""0.466"", ""0.000"", ""0.320"", ""0.706""]";"[""0.000"", ""0.750"", ""0.600"", ""0.444"", ""0.000"", ""0.250"", ""0.375""]";"[""0.000"", ""0.833"", ""0.947"", ""0.706"", ""0.000"", ""0.200"", ""0.600""]";"[""0.800"", ""0.450"", ""0.475"", ""0.425"", ""0.750"", ""0.250"", ""0.125""]";"[""0.000"", ""0.500"", ""0.750"", ""0.675"", ""0.000"", ""0.200"", ""0.200""]";"[""0.800"", ""-0.050"", ""-0.275"", ""-0.250"", ""0.750"", ""0.050"", ""-0.075""]"
5;flags;0;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 16 -K 28 -depth 3 -N 0;17615;success;0.564;0.564;0.714;0.075;0.436;0.286;0.925;0.698;0.275;0.248;0.775;0.533;0.597;0.673;0.756;0.525;0.601;0.712;0.558;0.627;0.647;0.534;0.006;0.54;"[""0.825"", ""0.650"", ""0.625"", ""0.550"", ""0.725"", ""0.750"", ""0.875""]";"[""0.000"", ""0.651"", ""0.623"", ""0.553"", ""0.181"", ""0.482"", ""0.000""]";"[""0.825"", ""0.600"", ""0.591"", ""0.476"", ""0.757"", ""0.429"", ""0.000""]";"[""1.000"", ""0.667"", ""0.684"", ""0.588"", ""0.933"", ""0.333"", ""0.000""]";"[""0.825"", ""0.450"", ""0.475"", ""0.425"", ""0.750"", ""0.225"", ""0.125""]";"[""1.000"", ""0.500"", ""0.550"", ""0.525"", ""0.925"", ""0.175"", ""0.000""]";"[""-0.175"", ""-0.050"", ""-0.075"", ""-0.100"", ""-0.175"", ""0.050"", ""0.125""]"
6;flags;0;False;meka.classifiers.multilabel.BRq -P 0.4;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;0.513;0.513;0.575;0.025;0.487;0.425;0.975;0.373;0.175;0.335;0.527;0.827;1.568;0.525;0.962;0.45;0.857;0.679;0.57;0.468;0.5;0.505;0.017;0.522;"[""0.825"", ""0.450"", ""0.475"", ""0.425"", ""0.750"", ""0.225"", ""0.875""]";"[""0.000"", ""0.000"", ""0.000"", ""0.000"", ""0.000"", ""0.000"", ""0.000""]";"[""0.825"", ""0.450"", ""0.475"", ""0.425"", ""0.750"", ""0.225"", ""0.000""]";"[""1.000"", ""1.000"", ""1.000"", ""1.000"", ""1.000"", ""1.000"", ""0.000""]";"[""0.825"", ""0.450"", ""0.475"", ""0.425"", ""0.750"", ""0.225"", ""0.125""]";"[""1.000"", ""1.000"", ""1.000"", ""1.000"", ""1.000"", ""1.000"", ""0.000""]";"[""-0.175"", ""-0.550"", ""-0.525"", ""-0.575"", ""-0.250"", ""-0.775"", ""0.125""]"
7;flags;0;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 34 -K 30 -depth 3 -N 0;16454;success;0.565;0.565;0.718;0.075;0.435;0.282;0.925;0.655;0.275;0.24;0.785;0.523;0.575;0.673;0.771;0.536;0.633;0.719;0.58;0.626;0.66;0.705;0.023;0.728;"[""0.825"", ""0.650"", ""0.625"", ""0.550"", ""0.725"", ""0.775"", ""0.875""]";"[""0.000"", ""0.651"", ""0.623"", ""0.553"", ""0.181"", ""0.668"", ""0.000""]";"[""0.825"", ""0.600"", ""0.591"", ""0.476"", ""0.757"", ""0.500"", ""0.000""]";"[""1.000"", ""0.667"", ""0.684"", ""0.588"", ""0.933"", ""0.556"", ""0.000""]";"[""0.825"", ""0.450"", ""0.475"", ""0.425"", ""0.750"", ""0.225"", ""0.125""]";"[""1.000"", ""0.500"", ""0.550"", ""0.525"", ""0.925"", ""0.250"", ""0.000""]";"[""-0.175"", ""-0.050"", ""-0.075"", ""-0.100"", ""-0.175"", ""-0.025"", ""0.125""]"
8;flags;0;False;meka.classifiers.multilabel.CT -X Hbf -Iy 36 -Is 0 -P 'Macro Recall' -H 1;weka.classifiers.functions.SGD -- -F 0 -L 0.001 -R 1e-08 -N;51620;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;flags;0;False;meka.classifiers.multilabel.BRq -P 0.4;weka.classifiers.functions.MultilayerPerceptron -- -L 0.2 -M 0.0 -H 19 -R -D;396412;success;0.513;0.513;0.575;0.025;0.487;0.425;0.975;0.373;0.175;0.335;0.527;0.827;1.568;0.525;0.962;0.45;0.857;0.679;0.57;0.468;0.5;3.829;0.005;3.834;"[""0.825"", ""0.450"", ""0.475"", ""0.425"", ""0.750"", ""0.225"", ""0.875""]";"[""0.000"", ""0.000"", ""0.000"", ""0.000"", ""0.000"", ""0.000"", ""0.000""]";"[""0.825"", ""0.450"", ""0.475"", ""0.425"", ""0.750"", ""0.225"", ""0.000""]";"[""1.000"", ""1.000"", ""1.000"", ""1.000"", ""1.000"", ""1.000"", ""0.000""]";"[""0.825"", ""0.450"", ""0.475"", ""0.425"", ""0.750"", ""0.225"", ""0.125""]";"[""1.000"", ""1.000"", ""1.000"", ""1.000"", ""1.000"", ""1.000"", ""0.000""]";"[""-0.175"", ""-0.550"", ""-0.525"", ""-0.575"", ""-0.250"", ""-0.775"", ""0.125""]"
10;flags;0;True;meka.classifiers.multilabel.BRq -P 0.4;weka.classifiers.functions.VotedPerceptron -- -I 3 -M 20556 -E 4.400000000000001;1472444;success;0.064;0.064;0.429;0.0;0.936;0.571;1.0;0.086;0.65;0.771;0.473;1.112;2.108;0.226;0.092;0.063;0.229;0.13;0.098;0.475;0.523;0.623;0.01;0.633;"[""0.200"", ""0.550"", ""0.525"", ""0.575"", ""0.250"", ""0.400"", ""0.500""]";"[""0.000"", ""0.000"", ""0.000"", ""0.000"", ""0.000"", ""0.400"", ""0.582""]";"[""0.000"", ""0.000"", ""0.000"", ""0.000"", ""0.000"", ""0.267"", ""0.174""]";"[""0.000"", ""0.000"", ""0.000"", ""0.000"", ""0.000"", ""0.800"", ""0.800""]";"[""0.800"", ""0.450"", ""0.475"", ""0.425"", ""0.750"", ""0.250"", ""0.125""]";"[""0.000"", ""0.000"", ""0.000"", ""0.000"", ""0.000"", ""0.750"", ""0.575""]";"[""0.800"", ""0.450"", ""0.475"", ""0.425"", ""0.750"", ""-0.500"", ""-0.450""]"
11;flags;0;False;meka.classifiers.multilabel.CT -X Hbf -Iy 36 -Is 0 -P 'Macro Recall' -H 1;weka.classifiers.functions.SGD -- -F 0 -L 0.001 -R 1e-08 -N;51620;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
